,MEL,NV,BCC,AKIEC,BKL,DF,VASC,pred,GT
ISIC_0029021,0.3369,0.5259,0.0047,0.0196,0.0868,0.0125,0.0137,1,0
ISIC_0029035,0.0017,0.0001,0.0085,0.9451,0.0432,0.0009,0.0005,3,2
ISIC_0029039,0.0118,0.0649,0.0259,0.4759,0.2900,0.1214,0.0099,3,5
ISIC_0029046,0.6671,0.1292,0.0060,0.0381,0.1389,0.0127,0.0080,0,1
ISIC_0029054,0.5286,0.3538,0.0023,0.0088,0.0917,0.0093,0.0055,0,1
ISIC_0029059,0.0001,0.0002,0.9943,0.0031,0.0013,0.0007,0.0002,2,3
ISIC_0029068,0.0014,0.0906,0.4202,0.1771,0.1210,0.1795,0.0103,2,4
ISIC_0029070,0.0086,0.0021,0.0048,0.6962,0.2829,0.0046,0.0008,3,4
ISIC_0029089,0.1324,0.0071,0.0247,0.7638,0.0498,0.0187,0.0034,3,0
ISIC_0029115,0.0047,0.0059,0.5690,0.0372,0.3548,0.0237,0.0047,2,4
ISIC_0029126,0.0002,0.0004,0.2984,0.6181,0.0077,0.0746,0.0007,3,4
ISIC_0029141,0.0505,0.0113,0.0369,0.0539,0.8327,0.0092,0.0055,4,3
ISIC_0029145,0.0408,0.1678,0.7161,0.0247,0.0111,0.0321,0.0074,2,1
ISIC_0029147,0.0001,0.0001,0.7103,0.2827,0.0007,0.0057,0.0003,2,4
ISIC_0029166,0.1964,0.5060,0.0024,0.0084,0.2719,0.0095,0.0053,1,4
ISIC_0029170,0.0375,0.5459,0.0030,0.0305,0.3497,0.0286,0.0048,1,0
ISIC_0029174,0.0112,0.0636,0.1219,0.0079,0.0313,0.0049,0.7591,6,1
ISIC_0029182,0.0183,0.1843,0.1227,0.2049,0.1973,0.2654,0.0071,5,1
ISIC_0029201,0.0051,0.0397,0.2421,0.0019,0.0897,0.1705,0.4510,6,2
ISIC_0029203,0.0492,0.2210,0.1597,0.0403,0.2379,0.2424,0.0494,5,1
ISIC_0029209,0.0537,0.8508,0.0101,0.0091,0.0329,0.0382,0.0053,1,0
ISIC_0029216,0.2553,0.0219,0.6655,0.0226,0.0190,0.0088,0.0070,2,0
ISIC_0029223,0.0117,0.3451,0.0078,0.0475,0.5302,0.0526,0.0051,4,1
ISIC_0029231,0.0838,0.1498,0.0055,0.0144,0.6394,0.1013,0.0059,4,1
ISIC_0029249,0.0017,0.0006,0.0014,0.8309,0.1533,0.0118,0.0004,3,4
ISIC_0029252,0.0059,0.0160,0.0007,0.0013,0.9700,0.0043,0.0018,4,1
ISIC_0029254,0.0097,0.3293,0.0076,0.0332,0.5746,0.0405,0.0051,4,1
ISIC_0029272,0.1962,0.5966,0.0016,0.0888,0.0667,0.0453,0.0048,1,0
ISIC_0029277,0.0981,0.1693,0.0692,0.6194,0.0181,0.0212,0.0047,3,1
ISIC_0029289,0.1777,0.3673,0.0084,0.0296,0.3218,0.0590,0.0361,1,4
ISIC_0029301,0.0596,0.7931,0.0132,0.0019,0.0835,0.0275,0.0213,1,4
ISIC_0029323,0.1038,0.0160,0.2982,0.3602,0.0620,0.1179,0.0419,3,2
ISIC_0029339,0.1388,0.1662,0.0108,0.0650,0.0950,0.5090,0.0153,5,1
ISIC_0029353,0.2210,0.0038,0.0402,0.4771,0.1547,0.0958,0.0073,3,0
ISIC_0029359,0.5763,0.1292,0.0082,0.0589,0.1991,0.0175,0.0107,0,1
ISIC_0029360,0.0560,0.0023,0.7883,0.0493,0.0814,0.0179,0.0048,2,3
ISIC_0029362,0.0033,0.0018,0.8792,0.0851,0.0111,0.0170,0.0024,2,3
ISIC_0029389,0.1684,0.2261,0.0189,0.1220,0.3162,0.1123,0.0362,4,1
ISIC_0029390,0.0559,0.1760,0.2393,0.1829,0.1659,0.0544,0.1255,2,1
ISIC_0029396,0.0112,0.0673,0.6728,0.0234,0.2207,0.0021,0.0025,2,4
ISIC_0029397,0.1651,0.7785,0.0002,0.0003,0.0213,0.0339,0.0008,1,0
ISIC_0029405,0.0723,0.2893,0.3723,0.1048,0.0062,0.1341,0.0210,2,1
ISIC_0029413,0.5923,0.0719,0.0150,0.0385,0.2700,0.0077,0.0047,0,4
ISIC_0029417,0.0179,0.0006,0.1768,0.3421,0.3950,0.0666,0.0009,4,3
ISIC_0029418,0.2802,0.4279,0.0113,0.0080,0.1788,0.0488,0.0451,1,4
ISIC_0029432,0.0113,0.2403,0.0029,0.0157,0.6892,0.0260,0.0145,4,1
ISIC_0029435,0.8287,0.1691,0.0005,0.0000,0.0001,0.0004,0.0011,0,1
ISIC_0029441,0.0072,0.3459,0.6335,0.0043,0.0010,0.0054,0.0029,2,1
ISIC_0029444,0.0070,0.3094,0.0216,0.0008,0.0055,0.3195,0.3362,6,1
ISIC_0029452,0.8934,0.0101,0.0015,0.0131,0.0773,0.0033,0.0012,0,1
ISIC_0029453,0.0598,0.5817,0.1825,0.0070,0.0435,0.0145,0.1108,1,0
ISIC_0029460,0.0232,0.0004,0.0042,0.3525,0.6129,0.0065,0.0004,4,3
ISIC_0029465,0.6575,0.3053,0.0022,0.0029,0.0098,0.0043,0.0181,0,1
ISIC_0029479,0.0077,0.0132,0.0364,0.4656,0.4653,0.0101,0.0017,3,1
ISIC_0029486,0.0338,0.0828,0.0297,0.0513,0.6329,0.1462,0.0233,4,6
ISIC_0029488,0.2656,0.1730,0.0490,0.0505,0.4114,0.0179,0.0326,4,1
ISIC_0029502,0.2867,0.6885,0.0065,0.0013,0.0047,0.0043,0.0081,1,0
ISIC_0029513,0.3494,0.0103,0.0064,0.1959,0.4066,0.0254,0.0060,4,0
ISIC_0029522,0.0696,0.0294,0.0066,0.4905,0.3631,0.0219,0.0190,3,4
ISIC_0029525,0.0180,0.0004,0.0008,0.7502,0.2299,0.0005,0.0003,3,4
ISIC_0029528,0.0120,0.3007,0.0375,0.1563,0.4386,0.0499,0.0051,4,1
ISIC_0029530,0.4987,0.3525,0.0148,0.0183,0.0865,0.0200,0.0091,0,1
ISIC_0029538,0.3192,0.5959,0.0042,0.0158,0.0439,0.0063,0.0148,1,0
ISIC_0029544,0.0276,0.3002,0.0293,0.0084,0.5717,0.0379,0.0249,4,1
ISIC_0029548,0.7769,0.1995,0.0002,0.0011,0.0127,0.0007,0.0091,0,4
ISIC_0029549,0.0028,0.0013,0.4894,0.4642,0.0323,0.0082,0.0019,2,3
ISIC_0029554,0.2286,0.1378,0.5278,0.0388,0.0240,0.0241,0.0188,2,1
ISIC_0029559,0.0701,0.3911,0.2632,0.0143,0.2266,0.0123,0.0225,1,4
ISIC_0029562,0.1038,0.3296,0.2542,0.0233,0.1451,0.0523,0.0917,1,0
ISIC_0029570,0.2751,0.3491,0.0013,0.0110,0.3356,0.0230,0.0049,1,0
ISIC_0029576,0.5983,0.0117,0.0074,0.0195,0.3566,0.0030,0.0035,0,4
ISIC_0029592,0.0008,0.1559,0.0015,0.0005,0.2728,0.5643,0.0042,5,1
ISIC_0029598,0.0087,0.0110,0.8648,0.0425,0.0401,0.0300,0.0028,2,3
ISIC_0029600,0.1767,0.3075,0.0186,0.0113,0.0279,0.0164,0.4416,6,4
ISIC_0029606,0.2386,0.7440,0.0015,0.0013,0.0014,0.0036,0.0096,1,0
ISIC_0029617,0.3582,0.3061,0.0044,0.1140,0.0941,0.1134,0.0098,0,4
ISIC_0029636,0.5736,0.3828,0.0016,0.0025,0.0277,0.0066,0.0053,0,1
ISIC_0029640,0.0705,0.2162,0.0687,0.0217,0.0362,0.5598,0.0268,5,1
ISIC_0029647,0.1410,0.0087,0.3868,0.0528,0.3881,0.0099,0.0126,4,2
ISIC_0029661,0.1729,0.3778,0.0270,0.0173,0.3866,0.0089,0.0096,4,1
ISIC_0029665,0.4954,0.2745,0.0053,0.0647,0.1222,0.0301,0.0078,0,1
ISIC_0029678,0.2944,0.6482,0.0055,0.0077,0.0276,0.0047,0.0121,1,4
ISIC_0029683,0.4689,0.1562,0.0025,0.0380,0.3103,0.0194,0.0049,0,4
ISIC_0029687,0.1056,0.5899,0.0228,0.0096,0.1565,0.0966,0.0190,1,4
ISIC_0029719,0.5385,0.2309,0.0320,0.0288,0.1370,0.0131,0.0197,0,1
ISIC_0029723,0.0054,0.4567,0.0000,0.0000,0.0000,0.0003,0.5375,6,1
ISIC_0029724,0.0432,0.2912,0.0330,0.0117,0.0531,0.5415,0.0264,5,1
ISIC_0029725,0.8111,0.1655,0.0007,0.0024,0.0151,0.0039,0.0014,0,1
ISIC_0029726,0.2635,0.0004,0.0103,0.6882,0.0332,0.0040,0.0003,3,0
ISIC_0029728,0.0624,0.1279,0.7747,0.0010,0.0020,0.0246,0.0073,2,1
ISIC_0029729,0.0917,0.1367,0.6437,0.0873,0.0138,0.0145,0.0123,2,1
ISIC_0029733,0.1394,0.1913,0.5389,0.0365,0.0545,0.0254,0.0141,2,1
ISIC_0029740,0.1414,0.4101,0.0040,0.0098,0.4221,0.0077,0.0049,4,0
ISIC_0029746,0.4275,0.1463,0.0161,0.0521,0.3178,0.0224,0.0178,0,1
ISIC_0029764,0.0067,0.0013,0.2103,0.5906,0.1817,0.0036,0.0059,3,4
ISIC_0029779,0.0055,0.0353,0.1715,0.0018,0.0715,0.3610,0.3533,5,2
ISIC_0029780,0.1833,0.0070,0.0012,0.8019,0.0036,0.0027,0.0003,3,0
ISIC_0029783,0.0430,0.0450,0.0517,0.7537,0.0893,0.0111,0.0063,3,5
ISIC_0029786,0.3846,0.3765,0.0052,0.0110,0.0183,0.0571,0.1474,0,1
ISIC_0029802,0.0185,0.0035,0.0633,0.6709,0.2359,0.0062,0.0016,3,4
ISIC_0029830,0.0199,0.0030,0.3666,0.2871,0.3135,0.0064,0.0035,2,3
ISIC_0029839,0.1403,0.8167,0.0049,0.0055,0.0183,0.0048,0.0095,1,0
ISIC_0029843,0.1561,0.7392,0.0054,0.0170,0.0596,0.0136,0.0092,1,0
ISIC_0029855,0.4978,0.1229,0.2758,0.0339,0.0302,0.0183,0.0212,0,1
ISIC_0029859,0.0897,0.7591,0.0282,0.0261,0.0117,0.0768,0.0083,1,0
ISIC_0029881,0.6383,0.2830,0.0036,0.0333,0.0233,0.0111,0.0075,0,1
ISIC_0029891,0.1203,0.0077,0.6446,0.1368,0.0446,0.0304,0.0156,2,5
ISIC_0029905,0.1580,0.3045,0.0129,0.1129,0.3736,0.0250,0.0131,4,1
ISIC_0029915,0.0105,0.0044,0.3056,0.2689,0.0153,0.3933,0.0021,5,3
ISIC_0029926,0.5290,0.3007,0.0043,0.0487,0.0832,0.0261,0.0080,0,1
ISIC_0029929,0.2695,0.0036,0.0066,0.3542,0.3535,0.0098,0.0029,3,4
ISIC_0029933,0.3466,0.5044,0.0121,0.0059,0.0182,0.0313,0.0817,1,0
ISIC_0029937,0.2981,0.1285,0.0033,0.0282,0.3738,0.1503,0.0178,4,0
ISIC_0029945,0.8951,0.0903,0.0005,0.0014,0.0102,0.0016,0.0008,0,1
ISIC_0029958,0.0540,0.0011,0.0019,0.1786,0.7577,0.0055,0.0012,4,0
ISIC_0029967,0.0207,0.0065,0.1297,0.6870,0.0208,0.1242,0.0112,3,5
ISIC_0029978,0.1745,0.3031,0.0152,0.0241,0.4299,0.0392,0.0139,4,1
ISIC_0029983,0.4956,0.4208,0.0020,0.0378,0.0317,0.0087,0.0036,0,1
ISIC_0029986,0.9945,0.0051,0.0000,0.0000,0.0001,0.0001,0.0001,0,1
ISIC_0029991,0.0002,0.0001,0.0073,0.9374,0.0189,0.0360,0.0001,3,4
ISIC_0029993,0.6172,0.3485,0.0005,0.0014,0.0029,0.0027,0.0269,0,1
ISIC_0029995,0.1172,0.0085,0.0011,0.0765,0.0209,0.7691,0.0069,5,0
ISIC_0030005,0.5524,0.0032,0.1452,0.1808,0.1036,0.0120,0.0028,0,4
ISIC_0030019,0.5104,0.4029,0.0303,0.0183,0.0193,0.0054,0.0134,0,1
ISIC_0030031,0.3040,0.0430,0.0163,0.1173,0.5095,0.0065,0.0035,4,0
ISIC_0030033,0.3926,0.2993,0.0816,0.1235,0.0465,0.0420,0.0145,0,1
ISIC_0030034,0.0281,0.1698,0.0011,0.0947,0.0612,0.5971,0.0481,5,0
ISIC_0030035,0.0134,0.2206,0.0134,0.0050,0.0042,0.0054,0.7380,6,1
ISIC_0030047,0.0542,0.7454,0.0067,0.0667,0.1061,0.0130,0.0079,1,0
ISIC_0030081,0.0331,0.0031,0.8999,0.0109,0.0370,0.0023,0.0137,2,4
ISIC_0030082,0.6558,0.2964,0.0025,0.0071,0.0087,0.0168,0.0126,0,1
ISIC_0030085,0.5353,0.3256,0.0091,0.0259,0.0689,0.0120,0.0233,0,1
ISIC_0030089,0.0060,0.2193,0.6767,0.0028,0.0002,0.0821,0.0129,2,0
ISIC_0030091,0.1184,0.2817,0.1513,0.0266,0.4046,0.0081,0.0093,4,1
ISIC_0030107,0.2084,0.6202,0.0022,0.0575,0.0185,0.0819,0.0112,1,0
ISIC_0030115,0.1109,0.2074,0.0186,0.1533,0.4612,0.0354,0.0131,4,1
ISIC_0030119,0.1958,0.0071,0.0650,0.3865,0.2700,0.0364,0.0392,3,0
ISIC_0030122,0.3807,0.5264,0.0008,0.0605,0.0168,0.0100,0.0047,1,0
ISIC_0030130,0.1404,0.0056,0.0052,0.4477,0.3326,0.0649,0.0035,3,4
ISIC_0030137,0.2446,0.0039,0.0059,0.3991,0.3179,0.0235,0.0050,3,4
ISIC_0030151,0.3386,0.0116,0.0011,0.0149,0.6291,0.0029,0.0018,4,1
ISIC_0030159,0.4265,0.3642,0.1113,0.0113,0.0560,0.0160,0.0147,0,1
ISIC_0030160,0.0012,0.0248,0.0531,0.0391,0.3280,0.5510,0.0028,5,4
ISIC_0030167,0.0029,0.3617,0.0087,0.1025,0.5017,0.0187,0.0038,4,1
ISIC_0030171,0.2771,0.5859,0.0062,0.0430,0.0438,0.0369,0.0071,1,0
ISIC_0030183,0.1529,0.7219,0.0059,0.0144,0.0820,0.0174,0.0056,1,0
ISIC_0030188,0.4374,0.0110,0.0875,0.1689,0.2806,0.0095,0.0052,0,4
ISIC_0030227,0.8843,0.0185,0.0136,0.0496,0.0223,0.0090,0.0026,0,4
ISIC_0030231,0.0030,0.0029,0.0027,0.5196,0.4645,0.0060,0.0013,3,4
ISIC_0030233,0.1773,0.0299,0.1449,0.4821,0.0296,0.1275,0.0088,3,2
ISIC_0030238,0.2387,0.6984,0.0004,0.0019,0.0046,0.0521,0.0039,1,0
ISIC_0030245,0.0165,0.0011,0.6556,0.3063,0.0059,0.0131,0.0016,2,3
ISIC_0030247,0.0064,0.1681,0.0189,0.1243,0.3142,0.3645,0.0036,5,1
ISIC_0030249,0.0210,0.0030,0.1310,0.3526,0.4579,0.0311,0.0034,4,2
ISIC_0030253,0.5350,0.3484,0.0014,0.0362,0.0279,0.0444,0.0067,0,1
ISIC_0030255,0.2748,0.6930,0.0019,0.0036,0.0083,0.0068,0.0116,1,0
ISIC_0030260,0.0870,0.0309,0.0018,0.0087,0.5806,0.0034,0.2877,4,1
ISIC_0030273,0.5031,0.2365,0.0173,0.0276,0.1908,0.0135,0.0112,0,1
ISIC_0030277,0.2501,0.0053,0.0014,0.0144,0.7232,0.0040,0.0016,4,0
ISIC_0030311,0.0536,0.0657,0.8492,0.0158,0.0042,0.0068,0.0046,2,1
ISIC_0030312,0.0164,0.0142,0.0044,0.0166,0.0051,0.9345,0.0087,5,1
ISIC_0030313,0.0000,0.3857,0.0000,0.0000,0.0000,0.0003,0.6140,6,1
ISIC_0030319,0.5047,0.0269,0.0223,0.0838,0.3242,0.0313,0.0069,0,4
ISIC_0030324,0.3138,0.0071,0.0173,0.0459,0.3192,0.2861,0.0106,4,0
ISIC_0030326,0.0319,0.3163,0.0076,0.0194,0.4682,0.1495,0.0071,4,1
ISIC_0030334,0.8407,0.1473,0.0007,0.0013,0.0060,0.0011,0.0027,0,1
ISIC_0030341,0.0043,0.0028,0.6404,0.3269,0.0230,0.0015,0.0011,2,3
ISIC_0030356,0.1344,0.7158,0.0030,0.0040,0.0031,0.0456,0.0941,1,0
ISIC_0030358,0.2681,0.1506,0.0706,0.2440,0.2233,0.0367,0.0067,0,1
ISIC_0030360,0.0254,0.3446,0.0079,0.2954,0.2996,0.0206,0.0065,1,0
ISIC_0030366,0.1736,0.5891,0.0351,0.0633,0.0600,0.0744,0.0046,1,0
ISIC_0030371,0.7676,0.2099,0.0021,0.0017,0.0029,0.0066,0.0092,0,1
ISIC_0030372,0.0008,0.0004,0.5976,0.3374,0.0605,0.0024,0.0008,2,4
ISIC_0030382,0.1605,0.0837,0.0117,0.0328,0.4285,0.2656,0.0173,4,0
ISIC_0030387,0.0020,0.0529,0.0745,0.3318,0.5100,0.0269,0.0019,4,3
ISIC_0030391,0.3930,0.5626,0.0023,0.0027,0.0078,0.0183,0.0132,1,0
ISIC_0030399,0.4796,0.3198,0.0092,0.0746,0.0344,0.0584,0.0241,0,1
ISIC_0030416,0.0799,0.1234,0.0083,0.4593,0.3036,0.0197,0.0057,3,1
ISIC_0030425,0.0427,0.0960,0.0029,0.0295,0.7704,0.0490,0.0095,4,1
ISIC_0030436,0.1039,0.0026,0.0601,0.5073,0.3171,0.0044,0.0046,3,4
ISIC_0030451,0.1468,0.1027,0.1226,0.3638,0.2487,0.0089,0.0066,3,1
ISIC_0030492,0.5627,0.3699,0.0035,0.0115,0.0255,0.0218,0.0051,0,1
ISIC_0030521,0.2119,0.1398,0.0114,0.0031,0.1113,0.0465,0.4760,6,0
ISIC_0030522,0.1279,0.5363,0.0361,0.0658,0.1854,0.0431,0.0054,1,4
ISIC_0030525,0.0243,0.4340,0.4973,0.0016,0.0176,0.0100,0.0152,2,1
ISIC_0030532,0.5940,0.0809,0.0037,0.0475,0.2146,0.0482,0.0111,0,1
ISIC_0030534,0.4716,0.3379,0.0066,0.1054,0.0504,0.0196,0.0084,0,1
ISIC_0030535,0.1638,0.0491,0.0021,0.0157,0.7642,0.0031,0.0019,4,1
ISIC_0030539,0.0554,0.0074,0.0104,0.2513,0.6715,0.0032,0.0008,4,0
ISIC_0030551,0.0738,0.1813,0.0004,0.0062,0.6669,0.0678,0.0036,4,1
ISIC_0030561,0.0308,0.3439,0.0028,0.0371,0.1691,0.4070,0.0093,5,4
ISIC_0030565,0.0242,0.0002,0.0011,0.9655,0.0079,0.0010,0.0001,3,4
ISIC_0030575,0.0325,0.9502,0.0002,0.0010,0.0141,0.0009,0.0011,1,0
ISIC_0030580,0.4418,0.0792,0.0218,0.2112,0.1756,0.0650,0.0055,0,1
ISIC_0030589,0.1635,0.2083,0.4726,0.0117,0.0134,0.0149,0.1156,2,1
ISIC_0030592,0.7964,0.1875,0.0004,0.0040,0.0026,0.0061,0.0032,0,1
ISIC_0030602,0.1262,0.0063,0.0022,0.2200,0.5331,0.1094,0.0029,4,3
ISIC_0030603,0.0309,0.0026,0.0341,0.6985,0.2263,0.0065,0.0012,3,1
ISIC_0030605,0.2084,0.6372,0.0206,0.0066,0.1070,0.0103,0.0100,1,4
ISIC_0030607,0.0745,0.0074,0.1354,0.5041,0.2602,0.0115,0.0071,3,4
ISIC_0030616,0.1998,0.0033,0.4199,0.0988,0.2289,0.0266,0.0228,2,0
ISIC_0030620,0.2919,0.2696,0.0101,0.2016,0.1366,0.0728,0.0175,0,1
ISIC_0030645,0.1940,0.2079,0.0025,0.0277,0.1455,0.3687,0.0538,5,1
ISIC_0030653,0.1721,0.0347,0.1615,0.2435,0.3067,0.0110,0.0705,4,0
ISIC_0030654,0.5111,0.4596,0.0042,0.0082,0.0025,0.0092,0.0053,0,1
ISIC_0030655,0.0045,0.0030,0.0017,0.0170,0.9728,0.0007,0.0004,4,3
ISIC_0030674,0.0541,0.0536,0.0841,0.5100,0.2529,0.0110,0.0343,3,1
ISIC_0030689,0.1953,0.0235,0.0027,0.1786,0.5593,0.0339,0.0067,4,0
ISIC_0030693,0.0008,0.4641,0.0011,0.0156,0.4924,0.0221,0.0037,4,1
ISIC_0030694,0.5942,0.0942,0.0239,0.0154,0.2268,0.0160,0.0294,0,1
ISIC_0030695,0.0896,0.4565,0.0425,0.0330,0.3322,0.0343,0.0119,1,0
ISIC_0030700,0.0353,0.0043,0.0485,0.8332,0.0460,0.0297,0.0029,3,4
ISIC_0030706,0.6066,0.2159,0.0382,0.0998,0.0266,0.0073,0.0057,0,4
ISIC_0030707,0.0665,0.0080,0.1029,0.2654,0.5347,0.0099,0.0126,4,3
ISIC_0030730,0.0171,0.0025,0.0131,0.0630,0.8941,0.0085,0.0018,4,3
ISIC_0030737,0.0033,0.0352,0.0672,0.7524,0.1160,0.0215,0.0043,3,2
ISIC_0030743,0.0110,0.2264,0.0059,0.0213,0.7021,0.0239,0.0092,4,1
ISIC_0030747,0.1572,0.7944,0.0039,0.0104,0.0075,0.0128,0.0139,1,0
ISIC_0030756,0.2704,0.6528,0.0204,0.0276,0.0113,0.0098,0.0077,1,0
ISIC_0030757,0.0072,0.0007,0.0074,0.7389,0.0562,0.1857,0.0040,3,5
ISIC_0030759,0.0026,0.0020,0.0090,0.0081,0.9717,0.0034,0.0032,4,0
ISIC_0030760,0.3541,0.6037,0.0027,0.0008,0.0245,0.0045,0.0098,1,0
ISIC_0030778,0.0217,0.0055,0.3291,0.0108,0.2054,0.0096,0.4178,6,2
ISIC_0030786,0.0014,0.0012,0.0622,0.0029,0.0229,0.8854,0.0239,5,1
ISIC_0030802,0.2606,0.3272,0.0099,0.0069,0.3748,0.0119,0.0087,4,1
ISIC_0030810,0.1822,0.0467,0.0051,0.2969,0.2305,0.2265,0.0121,3,1
ISIC_0030821,0.0901,0.0089,0.0103,0.3280,0.5344,0.0220,0.0064,4,3
ISIC_0030828,0.1187,0.7278,0.0352,0.0322,0.0498,0.0165,0.0199,1,0
ISIC_0030839,0.0451,0.1305,0.0013,0.0092,0.8040,0.0065,0.0034,4,1
ISIC_0030840,0.2203,0.1911,0.0101,0.0221,0.5331,0.0088,0.0144,4,1
ISIC_0030841,0.4927,0.4601,0.0015,0.0027,0.0052,0.0293,0.0086,0,1
ISIC_0030873,0.6493,0.0044,0.0006,0.0171,0.3262,0.0016,0.0009,0,1
ISIC_0030876,0.0002,0.0007,0.0006,0.9920,0.0046,0.0015,0.0004,3,4
ISIC_0030892,0.0583,0.2504,0.0501,0.0202,0.6060,0.0111,0.0039,4,1
ISIC_0030894,0.2100,0.0236,0.0069,0.0222,0.7248,0.0058,0.0069,4,1
ISIC_0030902,0.0068,0.4491,0.0005,0.0006,0.0054,0.0158,0.5219,6,1
ISIC_0030912,0.2806,0.2794,0.0662,0.0188,0.3022,0.0265,0.0264,4,1
ISIC_0030923,0.1405,0.3297,0.3643,0.0705,0.0555,0.0286,0.0109,2,1
ISIC_0030937,0.4789,0.2695,0.0093,0.0265,0.0540,0.1537,0.0081,0,1
ISIC_0030940,0.0050,0.1594,0.0344,0.1996,0.5766,0.0207,0.0043,4,1
ISIC_0030945,0.0544,0.0037,0.2743,0.1534,0.5055,0.0048,0.0039,4,1
ISIC_0030960,0.1557,0.3460,0.4121,0.0262,0.0117,0.0346,0.0137,2,1
ISIC_0030965,0.3803,0.0050,0.0071,0.2725,0.3234,0.0095,0.0021,0,4
ISIC_0030976,0.0614,0.0037,0.2582,0.0208,0.0300,0.3312,0.2947,5,4
ISIC_0030978,0.4749,0.0822,0.0228,0.0258,0.3764,0.0086,0.0092,0,1
ISIC_0030991,0.0267,0.0053,0.0248,0.4017,0.5306,0.0099,0.0010,4,3
ISIC_0031014,0.0310,0.2859,0.0334,0.0822,0.5124,0.0467,0.0084,4,1
ISIC_0031019,0.3439,0.1345,0.0047,0.0338,0.4455,0.0253,0.0122,4,1
ISIC_0031025,0.2287,0.6511,0.0012,0.0281,0.0613,0.0242,0.0052,1,0
ISIC_0031031,0.0151,0.2562,0.0072,0.0148,0.6840,0.0058,0.0169,4,1
ISIC_0031034,0.3318,0.4681,0.0291,0.0217,0.1128,0.0154,0.0211,1,0
ISIC_0031043,0.0786,0.0221,0.4931,0.3596,0.0132,0.0259,0.0076,2,3
ISIC_0031077,0.1984,0.6172,0.0035,0.0159,0.1355,0.0259,0.0036,1,0
ISIC_0031078,0.5907,0.0060,0.0025,0.0220,0.3752,0.0022,0.0014,0,4
ISIC_0031085,0.1191,0.1646,0.0038,0.0179,0.6739,0.0127,0.0078,4,1
ISIC_0031111,0.1244,0.0040,0.0398,0.5669,0.1479,0.1133,0.0038,3,1
ISIC_0031115,0.6197,0.3579,0.0013,0.0114,0.0033,0.0036,0.0030,0,1
ISIC_0031121,0.3884,0.3239,0.0236,0.0367,0.2081,0.0091,0.0102,0,1
ISIC_0031131,0.2775,0.0120,0.0193,0.0679,0.6133,0.0039,0.0061,4,1
ISIC_0031154,0.0664,0.3000,0.1554,0.2539,0.1963,0.0167,0.0113,1,2
ISIC_0031168,0.0029,0.0020,0.0435,0.5626,0.3609,0.0234,0.0046,3,4
ISIC_0031170,0.2157,0.0751,0.1049,0.0697,0.5107,0.0131,0.0107,4,0
ISIC_0031171,0.1569,0.0282,0.1290,0.4265,0.1085,0.0790,0.0720,3,2
ISIC_0031181,0.0953,0.0277,0.0555,0.5784,0.2227,0.0148,0.0055,3,4
ISIC_0031186,0.2208,0.0021,0.0020,0.3318,0.4385,0.0034,0.0014,4,0
ISIC_0031191,0.6804,0.0328,0.0141,0.0294,0.1541,0.0753,0.0140,0,3
ISIC_0031203,0.4146,0.0995,0.0033,0.0411,0.4324,0.0069,0.0022,4,0
ISIC_0031208,0.4284,0.5627,0.0010,0.0007,0.0023,0.0035,0.0014,1,0
ISIC_0031220,0.0038,0.2407,0.0022,0.3789,0.0196,0.3449,0.0099,3,1
ISIC_0031225,0.0569,0.0819,0.3210,0.0375,0.4883,0.0077,0.0069,4,2
ISIC_0031233,0.3342,0.5136,0.0027,0.0072,0.0351,0.0880,0.0192,1,0
ISIC_0031238,0.0296,0.0358,0.0131,0.0418,0.7476,0.0089,0.1231,4,1
ISIC_0031239,0.3670,0.0273,0.0035,0.1097,0.4429,0.0464,0.0032,4,0
ISIC_0031253,0.0011,0.0083,0.0008,0.0081,0.2286,0.7278,0.0254,5,4
ISIC_0031266,0.0246,0.1529,0.2171,0.1407,0.3814,0.0751,0.0083,4,2
ISIC_0031278,0.6046,0.3566,0.0020,0.0039,0.0197,0.0022,0.0110,0,1
ISIC_0031289,0.0307,0.0005,0.0212,0.7261,0.2171,0.0037,0.0007,3,4
ISIC_0031301,0.2058,0.0060,0.1739,0.0644,0.5042,0.0388,0.0070,4,1
ISIC_0031304,0.3274,0.2296,0.0054,0.1301,0.2735,0.0254,0.0086,0,1
ISIC_0031317,0.0069,0.2260,0.0114,0.0717,0.6585,0.0090,0.0166,4,1
ISIC_0031339,0.3578,0.0040,0.0061,0.5253,0.0822,0.0220,0.0026,3,0
ISIC_0031345,0.0010,0.0013,0.0011,0.0243,0.4057,0.5647,0.0020,5,4
ISIC_0031353,0.4530,0.1528,0.1013,0.0417,0.1687,0.0572,0.0252,0,1
ISIC_0031354,0.4787,0.1427,0.0041,0.0745,0.2697,0.0172,0.0131,0,1
ISIC_0031358,0.0007,0.0007,0.0067,0.8798,0.0205,0.0866,0.0049,3,5
ISIC_0031359,0.0420,0.0712,0.1922,0.0331,0.4914,0.1498,0.0203,4,1
ISIC_0031369,0.2463,0.0017,0.5919,0.0402,0.0152,0.1006,0.0041,2,0
ISIC_0031377,0.1825,0.7533,0.0175,0.0033,0.0337,0.0053,0.0044,1,0
ISIC_0031380,0.4378,0.0223,0.0068,0.0070,0.1309,0.0107,0.3846,0,1
ISIC_0031385,0.2848,0.1994,0.0156,0.0081,0.4759,0.0089,0.0075,4,1
